from_node_token,from_node_Mood,from_node_Number,from_node_Person,from_node_Tense,from_node_VerbForm,from_node_lemma,from_node_upos,from_node_xpos,to_node_token,to_node_Case,to_node_Gender,to_node_Number,to_node_Person,to_node_PronType,to_node_lemma,to_node_upos,to_node_xpos,deprel,label,doc_id,from_node_Case,from_node_PronType,from_node_Reflex,from_node_NumType,from_node_Gender,to_node_NumType,to_node_Definite,to_node_Polarity
starren_an.v.01,Ind,Sing,3,Past,Fin,starren,VERB,VVFIN,female.n.02,Nom,Fem,Sing,3,Prs,Sie|sie,PRON,PPER,nsubj,Agent,de/p96/d1574,,,,,,,,
starren_an.v.01,Ind,Sing,3,Past,Fin,starren,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p96/d1574,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p96/d1574,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p96/d1574,Acc,Prs,Yes,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p96/d1684,,,,,,,,
glücklich.a.01,,,,,,glücklich,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p96/d1684,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p96/d1397,,,,,,,,
verloben.a.01,,,,,Part,verloben,ADJ,VVPP,time.n.08,,,,,,,,,,Time,de/p96/d1397,,,,,,,,
ohrfeigen.v.01,Ind,Sing,3,Past,Fin,ohrfeigen,VERB,VVFIN,female.n.02,Nom,Fem,Sing,3,Prs,Sie|sie,PRON,PPER,nsubj,Agent,de/p96/d0858,,,,,,,,
ohrfeigen.v.01,Ind,Sing,3,Past,Fin,ohrfeigen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p96/d0858,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p96/d0858,,,,,,,,
bellen.v.01,Ind,Sing,3,Pres,Fin,bellen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p96/d2864,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p96/d2864,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p96/d3166,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p96/d3166,Nom,Prs,,,,,,
dauern.v.01,Ind,Sing,3,Past,Fin,dauern,VERB,VVFIN,Versammlung.n.01,Nom,Fem,Sing,,,Versammlung,NOUN,NN,nsubj,Theme,de/p96/d0909,,,,,,,,
dauern.v.01,Ind,Sing,3,Past,Fin,dauern,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p96/d0909,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p96/d0909,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p96/d2656,,,,,,,,
unvoreingenommen.a.01,,,,,,unvoreingenommen,ADJ,ADJD,male.n.02,Nom,Masc,Sing,3,Prs,er,PRON,PPER,nsubj,AttributeOf,de/p96/d2656,,,,,,,,
unvoreingenommen.a.01,,,,,,unvoreingenommen,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p96/d2656,,,,,,,,
unvoreingenommen.a.01,,,,,,unvoreingenommen,ADJ,ADJD,äußerst.r.01,,,,,,äußerst,ADV,ADV,advmod,Degree,de/p96/d2656,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p96/d2883,,,,,,,,
süß.a.01,,,,,,süß,ADJ,ADJD,Banan.n.01,Nom,Fem,Sing,,,Banan,NOUN,NN,nsubj,AttributeOf,de/p96/d2883,,,,,,,,
süß.a.01,,,,,,süß,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p96/d2883,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p96/d3377,Nom,Prs,,,,,,
