from_node_token,from_node_Case,from_node_Number,from_node_Person,from_node_PronType,from_node_lemma,from_node_upos,from_node_xpos,to_node_token,label,doc_id,from_node_Tense,from_node_VerbForm,to_node_Case,to_node_Number,to_node_Person,to_node_PronType,to_node_lemma,to_node_upos,to_node_xpos,from_node_Mood,to_node_Gender,to_node_Degree,from_node_Voice,to_node_NumType,to_node_Poss,from_node_NumType,to_node_Reflex,to_node_VerbForm,from_node_Degree,to_node_Tense,from_node_Gender,from_node_Poss,to_node_Mood,to_node_Voice,to_node_Foreign
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,EQU,en/p12/d1711,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,TPR,en/p12/d1711,,,,,,,,,,,,,,,,,,,,,,,,,
joke.v.01,,,,,joke,VERB,VBG,person.n.01,Agent,en/p12/d1711,Pres,Part,Nom,Sing,1,Prs,I,PRON,PRP,,,,,,,,,,,,,,,,
joke.v.01,,,,,joke,VERB,VBG,time.n.08,Time,en/p12/d1711,Pres,Part,,,,,,,,,,,,,,,,,,,,,,,
entity.n.01,,Sing,,,Tom,PROPN,NNP,Tom,Name,en/p12/d3247,,,,,,,,,,,,,,,,,,,,,,,,,
videotape.v.01,,,,,videotape,VERB,VBD,entity.n.01,Agent,en/p12/d3247,Past,Fin,,Sing,,,Tom,PROPN,NNP,Ind,,,,,,,,,,,,,,,
videotape.v.01,,,,,videotape,VERB,VBD,time.n.08,Time,en/p12/d3247,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
videotape.v.01,,,,,videotape,VERB,VBD,it.n.01,Theme,en/p12/d3247,Past,Fin,Acc,Sing,3,Prs,it,PRON,PRP,Ind,Neut,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,TPR,en/p12/d3247,,,,,,,,,,,,,,,,,,,,,,,,,
entity.n.01,,Sing,,,Tom,PROPN,NNP,Tom,Name,en/p12/d2253,,,,,,,,,,,,,,,,,,,,,,,,,
tackle.v.01,,,,,tackle,VERB,VBD,entity.n.01,Agent,en/p12/d2253,Past,Fin,,Sing,,,Tom,PROPN,NNP,Ind,,,,,,,,,,,,,,,
tackle.v.01,,,,,tackle,VERB,VBD,time.n.08,Time,en/p12/d2253,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
tackle.v.01,,,,,tackle,VERB,VBD,problem.n.01,Theme,en/p12/d2253,Past,Fin,,Sing,,,problem,NOUN,NN,Ind,,,,,,,,,,,,,,,
tackle.v.01,,,,,tackle,VERB,VBD,immediately.r.01,Manner,en/p12/d2253,Past,Fin,,,,,immediately,ADV,RB,Ind,,,,,,,,,,,,,,,
