from_node_token,from_node_Case,from_node_Number,from_node_Person,from_node_PronType,from_node_lemma,from_node_upos,from_node_xpos,to_node_token,deprel,label,doc_id,from_node_Tense,from_node_VerbForm,to_node_Case,to_node_Number,to_node_Person,to_node_PronType,to_node_lemma,to_node_upos,to_node_xpos,from_node_Mood,to_node_Gender,from_node_Voice,from_node_NumType,from_node_Degree,to_node_Degree,to_node_Poss,to_node_NumType,to_node_Tense,to_node_VerbForm,from_node_Gender,from_node_Poss,to_node_Mood,to_node_Voice,to_node_Foreign
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d1711,,,,,,,,,,,,,,,,,,,,,,,,
joke.v.01,,,,,joke,VERB,VBG,person.n.01,nsubj,Agent,en/p12/d1711,Pres,Part,Nom,Sing,1,Prs,I,PRON,PRP,,,,,,,,,,,,,,,
joke.v.01,,,,,joke,VERB,VBG,time.n.08,,Time,en/p12/d1711,Pres,Part,,,,,,,,,,,,,,,,,,,,,,
hate.v.01,,Sing,3,,hate,VERB,VBD,time.n.08,,Time,en/p12/d2101,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d2101,,,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,Name,en/p12/d3247,,,,,,,,,,,,,,,,,,,,,,,,
videotape.v.01,,,,,videotape,VERB,VBD,female.n.02,nsubj,Agent,en/p12/d3247,Past,Fin,,Sing,,,Tom,PROPN,NNP,Ind,,,,,,,,,,,,,,
videotape.v.01,,,,,videotape,VERB,VBD,time.n.08,,Time,en/p12/d3247,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d3247,,,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,Name,en/p12/d2253,,,,,,,,,,,,,,,,,,,,,,,,
tackle.v.01,,,,,tackle,VERB,VBD,female.n.02,nsubj,Agent,en/p12/d2253,Past,Fin,,Sing,,,Tom,PROPN,NNP,Ind,,,,,,,,,,,,,,
tackle.v.01,,,,,tackle,VERB,VBD,time.n.08,,Time,en/p12/d2253,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
tackle.v.01,,,,,tackle,VERB,VBD,problem.n.02,obj,Theme,en/p12/d2253,Past,Fin,,Sing,,,problem,NOUN,NN,Ind,,,,,,,,,,,,,,
tackle.v.01,,,,,tackle,VERB,VBD,immediately.r.01,advmod,Manner,en/p12/d2253,Past,Fin,,,,,immediately,ADV,RB,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d2253,,,,,,,,,,,,,,,,,,,,,,,,
plant.v.01,,Sing,3,,plant,VERB,VBD,female.n.02,nsubj,Agent,en/p12/d2513,Past,Fin,Nom,Sing,3,Prs,she,PRON,PRP,Ind,Fem,,,,,,,,,,,,,
plant.v.01,,Sing,3,,plant,VERB,VBD,time.n.08,,Time,en/p12/d2513,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
plant.v.01,,Sing,3,,plant,VERB,VBD,pansy.n.01,obj,Theme,en/p12/d2513,Past,Fin,,Plur,,,pansy,NOUN,NNS,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d2513,,,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,Name,en/p12/d2518,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d0875,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d0875,,,,,,,,,,,,,,,,,,,,,,,,
love.v.01,,Sing,,,love,NOUN,NN,time.n.08,,Time,en/p12/d0875,,,,,,,,,,,,,,,,,,,,,,,,
love.v.01,,Sing,,,love,NOUN,NN,person.n.01,obl,Stimulus,en/p12/d0875,,,Acc,,2,Prs,you,PRON,PRP,,,,,,,,,,,,,,,
person.n.01,Acc,,2,Prs,you,PRON,PRP,hearer,,EQU,en/p12/d0875,,,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,Name,en/p12/d3079,,,,,,,,,,,,,,,,,,,,,,,,
finish.v.01,,,,,finish,VERB,VBD,female.n.02,nsubj,Agent,en/p12/d3079,Past,Fin,,Sing,,,Tom,PROPN,NNP,Ind,,,,,,,,,,,,,,
finish.v.01,,,,,finish,VERB,VBD,time.n.08,,Time,en/p12/d3079,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
finish.v.01,,,,,finish,VERB,VBD,soup.n.01,obl,Theme,en/p12/d3079,Past,Fin,,Sing,,,soup,NOUN,NN,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d3079,,,,,,,,,,,,,,,,,,,,,,,,
abound.v.01,,Plur,,,abound,VERB,VBP,cow.n.01,nsubj,Theme,en/p12/d1850,Pres,Fin,,Plur,,,cow,NOUN,NNS,Ind,,,,,,,,,,,,,,
abound.v.01,,Plur,,,abound,VERB,VBP,time.n.08,,Time,en/p12/d1850,Pres,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d1850,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d0877,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d0877,,,,,,,,,,,,,,,,,,,,,,,,
invite.v.02,,,,,invite,VERB,VBN,time.n.08,,Time,en/p12/d0877,Past,Part,,,,,,,,,,Pass,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d3517,,,,,,,,,,,,,,,,,,,,,,,,
owe.v.03,,,,,owe,VERB,VBD,person.n.01,nsubj,Agent,en/p12/d3517,Past,Fin,Nom,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,
