from_node_token,to_node_token,deprel,label,doc_id,from_node_Number,from_node_lemma,from_node_upos,from_node_xpos,from_node_VerbForm,to_node_Gender,to_node_Number,to_node_lemma,to_node_upos,to_node_xpos,from_node_Gender,from_node_Tense,from_node_Mood,from_node_Person,from_node_PronType,to_node_PronType,to_node_Person,from_node_NumType,to_node_NumType
time.n.08,now,,EQU,it/p96/d1684,,,,,,,,,,,,,,,,,,,
felice.a.01,time.n.08,,Time,it/p96/d1684,Sing,felice,ADJ,A,,,,,,,,,,,,,,,
cercare.v.01,casa.n.01,obj,Theme,it/p96/d2897,,cercare,VERB,V,Inf,Fem,Sing,casa,NOUN,S,,,,,,,,,
time.n.08,now,,EQU,it/p96/d2897,,,,,,,,,,,,,,,,,,,
stressante.a.01,time.n.08,,Time,it/p96/d2897,Sing,stressante,ADJ,A,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p96/d3140,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p96/d3140,,,,,,,,,,,,,,,,,,,
giovane.a.01,time.n.08,,Time,it/p96/d3140,Sing,giovane,ADJ,A,,,,,,,,,,,,,,,
giovane.a.01,female.n.02,nsubj,AttributeOf,it/p96/d3140,Sing,giovane,ADJ,A,,,,Tom,PROPN,SP,,,,,,,,,
schiaffeggiare.v.01,time.n.08,,Time,it/p96/d0858,Sing,schiaffeggiare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
time.n.08,now,,TPR,it/p96/d0858,,,,,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p96/d2029,,Tom,PROPN,SP,,,,,,,,,,,,,,,
geloso.a.01,time.n.08,,Time,it/p96/d2029,Sing,geloso,ADJ,A,,,,,,,Masc,,,,,,,,
geloso.a.01,molto.r.01,advmod,Degree,it/p96/d2029,Sing,geloso,ADJ,A,,,,molto,ADV,B,Masc,,,,,,,,
time.n.08,now,,EQU,it/p96/d2864,,,,,,,,,,,,,,,,,,,
abbaiare.v.01,time.n.08,,Time,it/p96/d2864,,abbaiare,VERB,V,Ger,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p96/d2865,,Tom,PROPN,SP,,,,,,,,,,,,,,,
giocare.v.01,female.n.02,nsubj,Agent,it/p96/d2865,Sing,giocare,VERB,V,Fin,,,Tom,PROPN,SP,,Pres,Ind,3,,,,,
giocare.v.01,time.n.08,,Time,it/p96/d2865,Sing,giocare,VERB,V,Fin,,,,,,,Pres,Ind,3,,,,,
giocare.v.01,hockey.n.01,obl,Theme,it/p96/d2865,Sing,giocare,VERB,V,Fin,Masc,,hockey,NOUN,S,,Pres,Ind,3,,,,,
time.n.08,now,,EQU,it/p96/d2865,,,,,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p96/d2883,,,,,,,,,,,,,,,,,,,
dolce.a.01,banana.n.02,nsubj,AttributeOf,it/p96/d2883,Sing,dolce,ADJ,A,,Fem,Sing,banana,NOUN,S,,,,,,,,,
dolce.a.01,time.n.08,,Time,it/p96/d2883,Sing,dolce,ADJ,A,,,,,,,,,,,,,,,
person.n.01,speaker,,EQU,it/p96/d1428,Sing,io,PRON,PE,,,,,,,,,,1,Prs,,,,
fiero.a.01,time.n.08,,Time,it/p96/d1428,Sing,fiero,ADJ,A,,,,,,,Masc,,,,,,,,
person.n.01,hearer,,EQU,it/p96/d1428,Sing,tu,PRON,PE,,,,,,,,,,2,Prs,,,,
time.n.08,now,,EQU,it/p96/d1639,,,,,,,,,,,,,,,,,,,
bello.a.01,vagina.n.01,nsubj,AttributeOf,it/p96/d1639,Sing,bello,ADJ,A,,Fem,Sing,vagina,NOUN,S,Fem,,,,,,,,
bello.a.01,time.n.08,,Time,it/p96/d1639,Sing,bello,ADJ,A,,,,,,,Fem,,,,,,,,
cantante.n.01,time.n.08,,Time,it/p96/d2273,Sing,cantante,NOUN,S,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p96/d3526,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p96/d3526,,,,,,,,,,,,,,,,,,,
allergico.a.01,time.n.08,,Time,it/p96/d3526,Sing,allergico,ADJ,A,,,,,,,Masc,,,,,,,,
allergico.a.01,grano.n.01,obl,Stimulus,it/p96/d3526,Sing,allergico,ADJ,A,,Masc,Sing,grano,NOUN,S,Masc,,,,,,,,
tennista.n.01,time.n.08,,Time,it/p96/d2691,Sing,tennista,NOUN,S,,,,,,,Masc,,,,,,,,
time.n.08,now,,EQU,it/p96/d2691,,,,,,,,,,,,,,,,,,,
person.n.01,speaker,,EQU,it/p96/d0945,Sing,mi,PRON,PC,,,,,,,,,,1,Prs,,,,
capire.v.01,time.n.08,,Time,it/p96/d0945,Sing,capire,VERB,V,Fin,,,,,,,Imp,Ind,3,,,,,
time.n.08,now,,TPR,it/p96/d0945,,,,,,,,,,,,,,,,,,,
scavare.v.01,time.n.08,,Time,it/p96/d0839,Sing,scavare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
time.n.08,now,,TPR,it/p96/d0839,,,,,,,,,,,,,,,,,,,
person.n.01,speaker,,EQU,it/p79/d2766,Sing,io,PRON,PE,,,,,,,,,,1,Prs,,,,
time.n.08,now,,TPR,it/p79/d2766,,,,,,,,,,,,,,,,,,,
disarmare.v.01,time.n.08,,Time,it/p79/d2766,Sing,disarmare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
female.n.02,Tom,,Name,it/p79/d3299,,Tom,PROPN,SP,,,,,,,,,,,,,,,
sorrire.v.01,female.n.02,nsubj,Agent,it/p79/d3299,Sing,sorrire,VERB,V,Fin,,,Tom,PROPN,SP,,Past,Ind,3,,,,,
sorrire.v.01,time.n.08,,Time,it/p79/d3299,Sing,sorrire,VERB,V,Fin,,,,,,,Past,Ind,3,,,,,
time.n.08,now,,TPR,it/p79/d3299,,,,,,,,,,,,,,,,,,,
stilista.n.01,time.n.08,,Time,it/p79/d0763,Sing,stilista,NOUN,S,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p79/d0763,,,,,,,,,,,,,,,,,,,
suonare.v.01,time.n.08,,Time,it/p79/d2906,Sing,suonare,VERB,V,Fin,,,,,,,Past,Ind,3,,,,,
