from_node_token,from_node_Gender,from_node_Number,from_node_lemma,from_node_upos,from_node_xpos,to_node_token,deprel,label,doc_id,from_node_VerbForm,to_node_Gender,to_node_Number,to_node_lemma,to_node_upos,to_node_xpos,from_node_Degree,from_node_Tense,to_node_Case,to_node_Person,to_node_PronType,from_node_Case,from_node_Person,from_node_PronType,to_node_Degree,to_node_Poss,to_node_Tense,to_node_VerbForm,from_node_Poss
female.n.02,Com,Sing,Mary,PROPN,N|eigen|ev|basis|zijd|stan,Mary,,Name,nl/p96/d2299,,,,,,,,,,,,,,,,,,,
molken.v.01,,,molken,VERB,WW|vd|vrij|zonder,female.n.02,nsubj,Agent,nl/p96/d2299,Part,Com,Sing,Mary,PROPN,N|eigen|ev|basis|zijd|stan,,,,,,,,,,,,,
molken.v.01,,,molken,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p96/d2299,Part,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p96/d1684,,,,,,,,,,,,,,,,,,,
gelukkig.a.01,,,gelukkig,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p96/d1684,,,,,,,Pos,,,,,,,,,,,,
terug_slaan.v.01,,Sing,terug_slaan,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p96/d0858,Fin,,,zij,PRON,VNW|pers|pron|nomin|vol|3v|ev|fem,,Past,Nom,3,Prs,,,,,,,,
terug_slaan.v.01,,Sing,terug_slaan,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p96/d0858,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p96/d0858,,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,Tom,,Name,nl/p96/d2865,,,,,,,,,,,,,,,,,,,
spelen.v.01,,Sing,spelen,VERB,WW|pv|tgw|met-t,female.n.02,nsubj,Agent,nl/p96/d2865,Fin,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,,Pres,,,,,,,,,,,
spelen.v.01,,Sing,spelen,VERB,WW|pv|tgw|met-t,time.n.08,,Time,nl/p96/d2865,Fin,,,,,,,Pres,,,,,,,,,,,
spelen.v.01,,Sing,spelen,VERB,WW|pv|tgw|met-t,hockey.n.01,obj,Theme,nl/p96/d2865,Fin,Com,Sing,hockey,NOUN,N|soort|ev|basis|zijd|stan,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p96/d2865,,,,,,,,,,,,,,,,,,,
toe_voegen.v.01,,Sing,toe_voegen,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p96/d3462,Fin,,,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem,,Past,,3,Prs,,,,,,,,
toe_voegen.v.01,,Sing,toe_voegen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p96/d3462,Fin,,,,,,,Past,,,,,,,,,,,
toe_voegen.v.01,,Sing,toe_voegen,VERB,WW|pv|verl|ev,melk.n.01,obj,Theme,nl/p96/d3462,Fin,Com,Sing,melk,NOUN,N|soort|ev|basis|zijd|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p96/d3462,,,,,,,,,,,,,,,,,,,
duren.v.01,,Sing,duren,VERB,WW|pv|verl|ev,vergadering.n.01,nsubj,Theme,nl/p96/d0909,Fin,Com,Sing,vergadering,NOUN,N|soort|ev|basis|zijd|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p96/d2975,,,,,,,,,,,,,,,,,,,
baseren.v.01,,,baseren,VERB,WW|vd|vrij|zonder,film.n.01,nsubj:pass,Theme,nl/p96/d2975,Part,Com,Sing,film,NOUN,N|soort|ev|basis|zijd|stan,,,,,,,,,,,,,
baseren.v.01,,,baseren,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p96/d2975,Part,,,,,,,,,,,,,,,,,,
steken.v.01,,Sing,steken,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p96/d3097,Fin,,,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc,,Past,Nom,3,Prs,,,,,,,,
steken.v.01,,Sing,steken,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p96/d3097,Fin,,,,,,,Past,,,,,,,,,,,
steken.v.01,,Sing,steken,VERB,WW|pv|verl|ev,sleutel.n.01,obj,Theme,nl/p96/d3097,Fin,Com,Sing,sleutel,NOUN,N|soort|ev|basis|zijd|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p96/d3097,,,,,,,,,,,,,,,,,,,
begrijpen.v.01,,Sing,begrijpen,VERB,WW|pv|verl|ev,person.n.01,obj,Time,nl/p96/d0945,Fin,,,mij,PRON,VNW|pr|pron|obl|vol|1|ev,,Past,Acc,1,Prs,,,,,,,,
female.n.02,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,Tom,,Name,nl/p96/d3505,,,,,,,,,,,,,,,,,,,
kreunen.v.01,,Sing,kreunen,VERB,WW|pv|verl|ev,female.n.02,nsubj,Agent,nl/p96/d3505,Fin,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,,Past,,,,,,,,,,,
kreunen.v.01,,Sing,kreunen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p96/d3505,Fin,,,,,,,Past,,,,,,,,,,,
kreunen.v.01,,Sing,kreunen,VERB,WW|pv|verl|ev,pijn.n.01,obl,Theme,nl/p96/d3505,Fin,Com,Sing,pijn,NOUN,N|soort|ev|basis|zijd|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p96/d3505,,,,,,,,,,,,,,,,,,,
graven.v.01,,Sing,graven,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p96/d0839,Fin,,,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc,,Past,Nom,3,Prs,,,,,,,,
graven.v.01,,Sing,graven,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p96/d0839,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p96/d0839,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p79/d1593,,,,,,,,,,,,,,,,,,,
helder.a.01,,,helder,ADJ,ADJ|vrij|basis|zonder,maan.n.01,nsubj,AttributeOf,nl/p79/d1593,,Com,Sing,maan,NOUN,N|soort|ev|basis|zijd|stan,Pos,,,,,,,,,,,,
helder.a.01,,,helder,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p79/d1593,,,,,,,Pos,,,,,,,,,,,,
person.n.01,,,we,PRON,VNW|pers|pron|nomin|red|1|mv,speaker,,EQU,nl/p79/d0912,,,,,,,,,,,,Nom,1,Prs,,,,,
hebben.v.01,,Plur,hebben,VERB,WW|pv|tgw|mv,time.n.08,,Time,nl/p79/d0912,Fin,,,,,,,Pres,,,,,,,,,,,
hebben.v.01,,Plur,hebben,VERB,WW|pv|tgw|mv,kind.n.01,obj,Theme,nl/p79/d0912,Fin,,Plur,kind,NOUN,N|soort|mv|basis,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p79/d0912,,,,,,,,,,,,,,,,,,,
female.n.02,,,Gianni,PROPN,SPEC|deeleigen,Gianni,,Name,nl/p79/d0763,,,,,,,,,,,,,,,,,,,
ontwerper.n.01,Com,Sing,ontwerper,NOUN,N|soort|ev|basis|zijd|stan,female.n.02,nsubj,Theme,nl/p79/d0763,,,,Gianni,PROPN,SPEC|deeleigen,,,,,,,,,,,,,
begrijpen.v.01,,Sing,begrijpen,VERB,WW|pv|tgw|met-t,person.n.01,obj,Time,nl/p79/d0767,Fin,,,me,PRON,VNW|pr|pron|obl|red|1|ev,,Pres,Acc,1,Prs,,,,,,,,
person.n.01,,,me,PRON,VNW|pr|pron|obl|red|1|ev,speaker,,EQU,nl/p79/d0767,,,,,,,,,,,,Acc,1,Prs,,,,,
time.n.08,,,,,,now,,EQU,nl/p79/d0767,,,,,,,,,,,,,,,,,,,
person.n.01,,,me,PRON,VNW|pr|pron|obl|red|1|ev,speaker,,EQU,nl/p79/d0901,,,,,,,,,,,,Acc,1,Prs,,,,,
dumpen.v.01,,,dumpen,VERB,WW|vd|vrij|zonder,person.n.01,nsubj,Agent,nl/p79/d0901,Part,,,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem,,,,3,Prs,,,,,,,,
dumpen.v.01,,,dumpen,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p79/d0901,Part,,,,,,,,,,,,,,,,,,
female.n.02,,,Brad,PROPN,SPEC|deeleigen,Brad,,Name,nl/p79/d0885,,,,,,,,,,,,,,,,,,,
